,Occur_date,Occur_weekday,incident,cases,time,location,release,zip,latitude,longitude
1,NA,NA,Robbery,2021-085102,NA,Starflower Dr. / Aster Ln.,Lt. Eugene Woehrle,53719,43.0527993,-89.5171601
2,NA,NA,Theft,2021-071858,NA,7717 Mineral Point Road (Kwik Trip Gas Station),Sgt. Nicholas Ellis,53717,43.060206,-89.5171004
3,NA,NA,Theft,2021-081677,NA,2800 Maple View Dr,PIO Tyler Grigg,53719,43.0229572,-89.4962621
4,NA,NA,Weapons Violation,2021-83866,NA,200 block of N. Gammon Rd.,Sgt. Nicholas Ellis,53717,43.0701064,-89.5025442
5,NA,NA,Fraud,2021-0900945,NA,6200 block Kilpatrick Ln,PIO Tyler Grigg,53718,43.0854284,-89.2737562
6,NA,NA,Arrested Person,2021-075885,NA,5700 Russett Rd,PIO Tyler Grigg,53711,43.0330352,-89.4769451
7,NA,NA,Disturbance,2021-080921,NA,2833 E Washington Ave,PIO Tyler Grigg,53704,43.1020189,-89.3446491
8,NA,NA,Arrested Person,2021-080431,NA,600 block Grand Canyon Dr,PIO Tyler Grigg,53719,43.0541231,-89.4981206
9,NA,NA,Exposure,2021-079080,NA,1600 block Packers Ave,PIO Tyler Grigg,53704,43.1175665,-89.3555455
10,NA,NA,Weapons Violation,2021-80566,NA,5900 blk of Schroeder Rd.,Sgt. Kurt Wege,53711,43.0467809,-89.4796123
11,NA,NA,Weapons Violation,2021-80352,NA,2900 blk Turbot Dr.,Sgt. Kurt Wege,53713,43.0294699,-89.418236
12,NA,NA,Arrested Person,2021-075989,NA,1200 block Northport Dr,PIO Tyler Grigg,53704,43.136041,-89.3764946
13,NA,NA,Fraud,2021-0900847,NA,6200 block Mineral Point Rd,PIO Tyler Grigg,53705,43.0611737,-89.486911
14,NA,NA,Weapons Violation,2021-075468,NA,1700 block Lake Point Dr,PIO Tyler Grigg,53713,43.0481456,-89.3440692
15,NA,NA,Robbery,2021-075468,NA,4407 Cottage Grove Rd,PIO Tyler Grigg,53716,43.0838048,-89.306577
